neighbors,point_count,perturbation_std,mean_neighborhood_radius,median_neighborhood_radius,mean_surface_variation,median_surface_variation,mean_angular_error_deg,median_angular_error_deg,p95_angular_error_deg,mean_repeatability_error_deg,median_repeatability_error_deg,p95_repeatability_error_deg
8,5000,0.24646120307001534,16.00487097084094,15.788158486641112,4.4980274213534996e-05,2.0460366443413e-06,,,,0.9545656404604395,0.8302158382378917,2.1208806498105734
16,5000,0.24646120307001534,22.935405567331507,22.575552038818508,3.856663602176219e-05,3.874317243902015e-06,,,,0.4227497277025497,0.38925490894924075,0.8586337834561778
32,5000,0.24646120307001534,32.81950302008142,32.15476946327408,2.8282770390962874e-05,6.163918643720189e-06,,,,0.20281657138120124,0.18609244549411166,0.4024795643428533
64,5000,0.24646120307001534,46.93082498162151,45.63083113173949,2.144076968714121e-05,8.311740663991568e-06,,,,0.0990620051320356,0.09068013352279602,0.20193186759662085
