std_ratio,neighbors,threshold,input_points,true_outliers,predicted_outliers,true_positive,false_positive,false_negative,precision,recall,f1,inlier_retention,clean_coverage_rmse
0.5,16,18.5646286558523,5263,263,820,263,557,0,0.3207317073170732,1.0,0.4856879039704524,0.8886,4.3316105180406055
1.0,16,20.65746988816465,5263,263,410,262,148,1,0.6390243902439025,0.9961977186311787,0.7786032689450223,0.9704,2.2430897619132413
1.5,16,22.750311120476994,5263,263,303,249,54,14,0.8217821782178217,0.9467680608365019,0.8798586572438162,0.9892,1.3100630900838324
2.0,16,24.843152352789346,5263,263,262,240,22,23,0.916030534351145,0.9125475285171103,0.9142857142857143,0.9956,0.9261617029439292
2.5,16,26.93599358510169,5263,263,216,208,8,55,0.9629629629629629,0.7908745247148289,0.8684759916492693,0.9984,0.6201016690833852
3.0,16,29.02883481741404,5263,263,168,164,4,99,0.9761904761904762,0.623574144486692,0.7610208816705336,0.9992,0.36516286777272433
