case,angle_deg,translation_scale,translation_distance,median_point_spacing,initial_nearest_neighbor_rmse,final_nearest_neighbor_rmse,normalized_initial_nearest_neighbor_rmse,normalized_final_nearest_neighbor_rmse,initial_correspondence_rmse,correspondence_rmse,normalized_correspondence_rmse,rotation_error_deg,translation_error,normalized_translation_error,iterations,converged
case_01,2.0,0.5,2.4646120307001533,4.929224061400307,5.753617022771332,9.73818754900158e-13,1.1672459906675108,1.9756025345366693e-13,10.096723819682822,9.73818754900158e-13,1.9756025345366693e-13,0.0,6.868468117745001e-13,1.393417712846632e-13,10,True
case_02,5.0,1.0,4.929224061400307,4.929224061400307,8.779313502637569,1.339061509368954e-12,1.781074139312612,2.7165766714782895e-13,24.963220832549833,1.339061509368954e-12,2.7165766714782895e-13,4.353408482428142e-06,2.011366268568566e-12,4.08049267696947e-13,51,True
case_03,10.0,2.0,9.858448122800613,4.929224061400307,15.03573020705854,5.733763393159052,3.050323949523843,1.1632182513387694,49.88077637712137,17.388926643623147,3.5277208800046425,3.371983337690162,32.63325888458325,6.620364276018061,60,False
case_04,20.0,4.0,19.716896245601227,4.929224061400307,29.205783105594648,6.34667995433333,5.925026483234725,1.2875616679778903,99.39678583644795,27.39413361309748,5.557494094783609,5.350275920564849,50.95352853629031,10.33702828307125,60,False
