case,method,requested_overlap_ratio,actual_overlap_ratio,scan_points,overlap_points,angle_deg,translation_scale,translation_distance,median_point_spacing,correspondence_fraction,correspondences_used,initial_objective_rmse,final_objective_rmse,normalized_final_objective_rmse,initial_all_nearest_neighbor_rmse,final_all_nearest_neighbor_rmse,normalized_final_all_nearest_neighbor_rmse,initial_overlap_correspondence_rmse,overlap_correspondence_rmse,normalized_overlap_correspondence_rmse,rotation_error_deg,translation_error,normalized_translation_error,iterations,converged,recovered
case_01,all_pairs,1.0,1.0,5000,5000,2.0,0.5,2.4646120307001533,4.929224061400307,1.0,5000,5.753617022771332,6.683700354588578e-13,1.3559335650670046e-13,5.753617022771332,6.683700354588578e-13,1.3559335650670046e-13,10.096723819682822,6.683700354588578e-13,1.3559335650670046e-13,0.0,1.0403602766639748e-12,2.1105964421678703e-13,10,True,True
case_01,trimmed,1.0,1.0,5000,5000,2.0,0.5,2.4646120307001533,4.929224061400307,0.7,3500,4.299154668824364,1.6340869215262805e-12,3.3150997016395817e-13,5.753617022771332,1.8596935309406926e-12,3.772791635713119e-13,10.096723819682822,1.8596935309406926e-12,3.772791635713119e-13,0.0,2.4442826638183156e-12,4.958757470489052e-13,17,True,True
case_02,all_pairs,0.8,0.8000959923206143,4167,3334,2.0,0.5,2.4646120307001533,4.929224061400307,1.0,4167,32.2415894258774,5.6974162348290145,1.15584444201761,32.2415894258774,5.6974162348290145,1.15584444201761,8.745763089482766,106.76228624762997,21.65904509873318,0.11127063974910555,106.38151600069209,21.58179759644989,80,False,False
case_02,trimmed,0.8,0.8000959923206143,4167,3334,2.0,0.5,2.4646120307001533,4.929224061400307,0.7,2917,4.6728303567135905,6.776020239238754e-13,1.374662655792077e-13,32.2415894258774,30.96270899072185,6.281457001150376,8.745763089482766,7.54765838297034e-13,1.5312061876177285e-13,2.9575586669421963e-06,4.667705052293751e-13,9.469451974897114e-14,10,True,True
case_03,all_pairs,0.6,0.5998319798375805,3571,2142,2.0,0.5,2.4646120307001533,4.929224061400307,1.0,3571,75.73535091793848,5.740302832084503,1.164544918344366,75.73535091793848,5.740302832084503,1.164544918344366,8.045209728067105,191.6592941536212,38.88224429773114,0.19807787946712974,191.13803461281762,38.77649549542259,80,False,False
case_03,trimmed,0.6,0.5998319798375805,3571,2142,2.0,0.5,2.4646120307001533,4.929224061400307,0.7,2500,13.373419374186811,5.39336726947865,1.0941615155441906,75.73535091793848,51.053769077330315,10.357364250718769,8.045209728067105,46.37380267171064,9.407931571797256,1.8623155604242445,36.45494606304914,7.395676400373029,80,False,False
case_04,all_pairs,0.4,0.4,3125,1250,2.0,0.5,2.4646120307001533,4.929224061400307,1.0,3125,119.05592191935219,5.801832011336996,1.177027446727345,119.05592191935219,5.801832011336996,1.177027446727345,7.693677764608543,252.82168393273858,51.29036148154246,0.3761969180429271,254.52612994225063,51.636145318568495,80,False,False
case_04,trimmed,0.4,0.4,3125,1250,2.0,0.5,2.4646120307001533,4.929224061400307,0.7,2188,51.14441554398738,5.488125138188932,1.1133852042079524,119.05592191935219,44.73066849810461,9.074586170342885,7.693677764608543,126.58404456368125,25.680318643847755,2.741010161025973,111.4423300660809,22.60849348252635,80,False,False
